"Device Name","Device ID","Date & Time [GMT]","Date & Time [Local]","Latitude","Longitude","Altitude","Fix Status","DOP","Temp [C]","Main [V]","Back [V]"
"C25M32",94300,1984-05-17 09:00:12,1984-05-17 17:00:12,-34.4349292,119.2168533,5.7,"3-D least-squares   (6 SVs)",2.6,20.5,4.05,0
"C25M34",94961,1984-05-17 09:00:28,1984-05-17 17:00:28,-34.4531142,119.3755311,47.04,"3-D least-squares   (8 SVs)",2.4,18,3.95,0
"C25M34",94961,1984-05-17 10:00:38,1984-05-17 18:00:38,-34.4532458,119.3756231,36.38,"3-D least-squares   (7 SVs)",1.8,17.5,3.95,0
"C25M32",94300,1984-05-17 10:00:41,1984-05-17 18:00:41,-34.4353228,119.2178319,2.14,"3-D least-squares   (9 SVs)",1.8,17,4.05,0
"C25M32",94300,1984-05-17 11:00:11,1984-05-17 19:00:11,-34.4352911,119.2178189,7.27,"3-D least-squares   (7 SVs)",2.2,16,4.05,0
"C25M34",94961,1984-05-17 11:01:32,1984-05-17 19:01:32,-34.3919939,119.3754411,-16.93,"3-D least-squares   (8 SVs)",1.6,20,3.95,0
"C25M34",94961,1984-05-17 12:00:17,1984-05-17 20:00:17,-34.392015,119.3754881,-22.12,"3-D least-squares   (7 SVs)",2.2,19,3.95,0
"C25M32",94300,1984-05-17 12:00:41,1984-05-17 20:00:41,-34.4353783,119.2177736,5.53,"3-D least-squares   (7 SVs)",2.2,18.5,4.05,0
"C25M32",94300,1984-05-17 13:00:11,1984-05-17 21:00:11,-34.4353714,119.2178044,1.35,"3-D least-squares   (6 SVs)",3.2,18,4.05,0
"C25M34",94961,1984-05-17 13:00:25,1984-05-17 21:00:25,-34.3923356,119.3753969,-56.34,"3-D least-squares   (5 SVs)",6.6,19,3.95,0
"C25M35",94954,1984-05-17 13:01:30,1984-05-17 21:01:30,NA,NA,NA,"0                   (0 SVs)",17.6,20,4.05,0
"C25M37",94953,1984-05-17 14:00:18,1984-05-17 22:00:18,-34.4531647,119.3749567,-28.28,"2-D least-squares   (3 SVs)",4.2,23.5,3.95,0
"C25M32",94300,1984-05-17 14:00:42,1984-05-17 22:00:42,-34.4353625,119.2178222,4.57,"3-D least-squares   (7 SVs)",2.8,17.5,4.05,0
"C25M35",94954,1984-05-17 14:02:00,1984-05-17 22:02:00,-34.45319,119.3757111,41.85,"3-D least-squares   (5 SVs)",3.8,21.5,4.05,0
"C25M34",94961,1984-05-17 14:02:59,1984-05-17 22:02:59,-34.3920022,119.3754394,-67.85,"2-D least-squares   (4 SVs)",1.8,20.5,3.95,0
"C25M33",94960,1984-05-17 14:40:02,1984-05-17 22:40:02,-34.4532519,119.3753822,30.09,"3-D least-squares   (5 SVs)",8.6,19,3.95,0
"C25M32",94300,1984-05-17 15:00:12,1984-05-17 23:00:12,-34.4354575,119.2178628,-3.74,"3-D least-squares   (7 SVs)",2.6,18,4.05,0
"C25M35",94954,1984-05-17 15:00:17,1984-05-17 23:00:17,-34.4531978,119.3762322,65.37,"3-D least-squares   (5 SVs)",4.8,20,4.05,0
"C25M34",94961,1984-05-17 15:00:42,1984-05-17 23:00:42,-34.3919983,119.3754733,-22.93,"3-D least-squares   (6 SVs)",2.4,19.5,3.95,0
"C25M37",94953,1984-05-17 15:01:11,1984-05-17 23:01:11,-34.4532317,119.3759447,45.75,"3-D least-squares   (5 SVs)",4.8,22.5,3.95,0
"C25M34",94961,1984-05-17 16:00:42,1984-05-18 00:00:42,-34.3921236,119.3757167,-46.8,"3-D least-squares   (5 SVs)",6.2,19.5,3.95,0
"C25M32",94300,1984-05-17 16:00:42,1984-05-18 00:00:42,-34.4354678,119.2178861,-0.11,"3-D least-squares   (10 SVs)",1.6,18,4.05,0
"C25M35",94954,1984-05-17 16:01:56,1984-05-18 00:01:56,-34.4531683,119.3758936,68.35,"3-D least-squares   (5 SVs)",6.2,19.5,4.05,0
"C25M37",94953,1984-05-17 16:02:59,1984-05-18 00:02:59,-34.453345,119.375815,50.4,"2-D least-squares   (3 SVs)",3.4,21,3.95,0
"C25M34",94961,1984-05-17 16:41:40,1984-05-18 00:41:40,-34.3923958,119.3759439,-66.13,"3-D least-squares   (5 SVs)",4,19,3.95,0
"C25M32",94300,1984-05-17 17:00:12,1984-05-18 01:00:12,-34.4354514,119.2179306,-2.76,"3-D least-squares   (8 SVs)",2.2,24.5,4.05,0
"C25M35",94954,1984-05-17 17:01:06,1984-05-18 01:01:06,-34.4532903,119.3754767,29.19,"3-D least-squares   (4 SVs)",26.4,18.5,4.05,0
"C25M37",94953,1984-05-17 17:01:30,1984-05-18 01:01:30,NA,NA,NA,"0                   (2 SVs)",17.8,19,3.95,0
"C25M32",94300,1984-05-17 18:00:42,1984-05-18 02:00:42,-34.4354575,119.2178914,-1.96,"3-D least-squares   (5 SVs)",3.6,27,4.05,0
"C25M35",94954,1984-05-17 18:01:18,1984-05-18 02:01:18,-34.4532556,119.37564,31.25,"3-D least-squares   (5 SVs)",3.6,18,4.05,0
"C25M37",94953,1984-05-17 18:01:59,1984-05-18 02:01:59,-34.4532014,119.3757408,41.79,"2-D least-squares   (3 SVs)",21,18.5,3.95,0
"C25M32",94300,1984-05-17 19:00:14,1984-05-18 03:00:14,-34.4354689,119.2178658,1.49,"3-D least-squares   (5 SVs)",2.8,24.5,4.05,0
"C25M35",94954,1984-05-17 19:01:06,1984-05-18 03:01:06,-34.4532503,119.3755997,33.88,"3-D least-squares   (4 SVs)",4,17.5,4.05,0
"C25M37",94953,1984-05-17 19:02:31,1984-05-18 03:02:31,-34.4531739,119.3756756,55.08,"3-D least-squares   (4 SVs)",4,18,3.95,0
"C25M37",94953,1984-05-17 19:10:21,1984-05-18 03:10:21,-34.4532347,119.3756844,50.54,"3-D least-squares   (5 SVs)",4,18,3.95,0
"C25M35",94954,1984-05-17 19:12:21,1984-05-18 03:12:21,-34.4532944,119.3755672,33.81,"2-D least-squares   (4 SVs)",2.6,17.5,4.05,0
"C25M32",94300,1984-05-17 20:00:42,1984-05-18 04:00:42,-34.4354719,119.2178872,-2.52,"3-D least-squares   (7 SVs)",2,25.5,4.05,0
"C25M32",94300,1984-05-17 21:00:11,1984-05-18 05:00:11,-34.4354375,119.2179122,4.78,"3-D least-squares   (6 SVs)",4.2,24,4.05,0
"C25M32",94300,1984-05-17 22:00:42,1984-05-18 06:00:42,-34.4354639,119.217885,2.29,"3-D least-squares   (6 SVs)",2,19.5,4.05,0
"C25M32",94300,1984-05-17 23:00:18,1984-05-18 07:00:18,-34.4355603,119.2180256,11.44,"3-D least-squares   (5 SVs)",3.6,16,4.05,0
"C25M35",94954,1984-05-17 23:00:41,1984-05-18 07:00:41,-34.3921031,119.3754239,-2.76,"3-D least-squares   (7 SVs)",2.4,15.5,4.05,0
"C25M35",94954,1984-05-18 00:00:14,1984-05-18 08:00:14,-34.4322992,119.0751006,10.36,"3-D least-squares   (6 SVs)",2.8,9.5,4.05,0
"C25M37",94953,1984-05-18 00:00:40,1984-05-18 08:00:40,-34.4293594,119.2211939,13.83,"3-D least-squares   (7 SVs)",3.2,8.5,3.95,0
"C25M34",94961,1984-05-18 00:00:41,1984-05-18 08:00:41,-34.4292944,119.2212353,3.13,"3-D least-squares   (6 SVs)",3.4,8,3.95,0
"C25M32",94300,1984-05-18 00:00:42,1984-05-18 08:00:42,-34.4355697,119.2180364,-2.45,"3-D least-squares   (8 SVs)",1.8,17,4.05,0
"C25M32",94300,1984-05-18 01:00:11,1984-05-18 09:00:11,-34.4356394,119.2184833,5.71,"3-D least-squares   (6 SVs)",3.6,24,4.05,0
"C25M37",94953,1984-05-18 01:00:11,1984-05-18 09:00:11,-34.4032489,119.1565633,18.16,"3-D least-squares   (5 SVs)",3,10.5,3.95,0
"C25M35",94954,1984-05-18 01:00:42,1984-05-18 09:00:42,-34.4131142,119.1263681,25.42,"3-D least-squares   (12 SVs)",1.4,8.5,4.05,0
"C25M35",94954,1984-05-18 02:00:13,1984-05-18 10:00:13,-34.4021928,119.2845775,15.77,"3-D least-squares   (10 SVs)",2,12,4.05,0
"C25M32",94300,1984-05-18 02:00:40,1984-05-18 10:00:40,-34.4356692,119.2189072,7.99,"3-D least-squares   (8 SVs)",2.2,30,4.05,0
"C25M37",94953,1984-05-18 02:00:41,1984-05-18 10:00:41,-34.2938214,119.2736314,53.52,"3-D least-squares   (7 SVs)",2,13,3.95,0
"C25M32",94300,1984-05-18 03:00:11,1984-05-18 11:00:11,-34.4363128,119.2207386,9.95,"3-D least-squares   (7 SVs)",2.4,24,4.05,0
"C25M35",94954,1984-05-18 03:00:13,1984-05-18 11:00:13,-34.39754,119.3776314,-2.14,"3-D least-squares   (7 SVs)",2.2,15,4.05,0
"C25M37",94953,1984-05-18 03:00:17,1984-05-18 11:00:17,-34.3970769,119.3776822,2.05,"3-D least-squares   (6 SVs)",2.4,14.5,3.95,0
"C25M32",94300,1984-05-18 04:00:42,1984-05-18 12:00:42,-34.4371289,119.2201156,12.34,"3-D least-squares   (9 SVs)",2.4,33.5,4.05,0
"C25M37",94953,1984-05-18 04:00:59,1984-05-18 12:00:59,-34.4531936,119.375885,57.19,"3-D least-squares   (5 SVs)",2.6,18,3.95,0
"C25M35",94954,1984-05-18 04:03:01,1984-05-18 12:03:01,NA,NA,NA,"0                   (8 SVs)",36,19,4.05,0
"C25M32",94300,1984-05-18 05:00:11,1984-05-18 13:00:11,-34.4378375,119.2194636,-17.45,"3-D least-squares   (8 SVs)",3.6,31,4.05,0
"C25M37",94953,1984-05-18 05:00:59,1984-05-18 13:00:59,-34.4532183,119.3757272,40.83,"3-D least-squares   (4 SVs)",14.2,18,3.95,0
"C25M35",94954,1984-05-18 05:01:30,1984-05-18 13:01:30,-34.4531717,119.3753058,9.46,"2-D least-squares   (4 SVs)",2.8,19,4.05,0
"C25M32",94300,1984-05-18 06:00:26,1984-05-18 14:00:26,-34.4387106,119.2185136,2.24,"3-D least-squares   (6 SVs)",4.8,27,4.05,0
"C25M35",94954,1984-05-18 06:00:37,1984-05-18 14:00:37,-34.4532122,119.375825,50.67,"3-D least-squares   (5 SVs)",17.6,20,4.05,0
"C25M37",94953,1984-05-18 06:00:41,1984-05-18 14:00:41,-34.4531492,119.3758564,52.02,"3-D least-squares   (6 SVs)",4.8,18.5,3.95,0
"C25M37",94953,1984-05-18 07:00:41,1984-05-18 15:00:41,-34.4531747,119.3757658,49.66,"3-D least-squares   (6 SVs)",3.6,19,3.95,0
"C25M35",94954,1984-05-18 07:00:41,1984-05-18 15:00:41,-34.4531944,119.3757717,37.62,"3-D least-squares   (5 SVs)",5,19.5,4.05,0
"C25M32",94300,1984-05-18 07:00:41,1984-05-18 15:00:41,-34.4382917,119.2174856,6.33,"3-D least-squares   (10 SVs)",1.4,24,4.05,0
"C25M35",94954,1984-05-18 08:00:07,1984-05-18 16:00:07,-34.4530861,119.3763947,19.77,"2-D least-squares   (3 SVs)",12.4,20,4.05,0
"C25M32",94300,1984-05-18 08:00:11,1984-05-18 16:00:11,-34.4380908,119.2160753,8.75,"3-D least-squares   (8 SVs)",1.6,26.5,4.05,0
"C25M37",94953,1984-05-18 08:01:32,1984-05-18 16:01:32,-34.4531428,119.3757794,49.49,"3-D least-squares   (4 SVs)",14.2,19.5,3.95,0
"C25M32",94300,1984-05-18 09:00:11,1984-05-18 17:00:11,-34.438145,119.2152386,-1.76,"3-D least-squares   (5 SVs)",3.4,21,4.05,0
"C25M35",94954,1984-05-18 09:01:26,1984-05-18 17:01:26,-34.4531208,119.3750931,35.37,"2-D least-squares   (3 SVs)",16.2,20.5,4.05,0
"C25M37",94953,1984-05-18 09:01:29,1984-05-18 17:01:29,-34.4532453,119.3759953,54.13,"3-D least-squares   (6 SVs)",2.4,19.5,3.95,0
"C25M35",94954,1984-05-18 09:22:13,1984-05-18 17:22:13,-34.4532083,119.3755103,45.95,"3-D least-squares   (4 SVs)",6,20,4.05,0
"C25M37",94953,1984-05-18 09:23:59,1984-05-18 17:23:59,-34.4533139,119.3761522,67.8,"3-D least-squares   (5 SVs)",8.4,19,3.95,0
"C25M32",94300,1984-05-18 10:00:42,1984-05-18 18:00:42,-34.4381653,119.2152239,0.25,"3-D least-squares   (8 SVs)",2.2,19.5,4.05,0
"C25M35",94954,1984-05-18 10:01:47,1984-05-18 18:01:47,-34.4531531,119.3758842,44.32,"2-D least-squares   (3 SVs)",7,20.5,4.05,0
"C25M32",94300,1984-05-18 11:00:11,1984-05-18 19:00:11,-34.4379978,119.2142058,-0.92,"3-D least-squares   (8 SVs)",2.4,18,4.05,0
"C25M35",94954,1984-05-18 11:00:36,1984-05-18 19:00:36,-34.4533128,119.3756583,71.53,"3-D least-squares   (4 SVs)",15.8,20.5,4.05,0
"C25M32",94300,1984-05-18 12:00:42,1984-05-18 20:00:42,-34.4379597,119.2141994,-0.06,"3-D least-squares   (7 SVs)",2.2,22,4.05,0
"C25M35",94954,1984-05-18 12:01:01,1984-05-18 20:01:01,-34.4532119,119.3756536,52.44,"3-D least-squares   (4 SVs)",5.2,19.5,4.05,0
"C25M32",94300,1984-05-18 13:00:12,1984-05-18 21:00:12,-34.4379308,119.2142097,8.12,"3-D least-squares   (6 SVs)",2,32.5,4.05,0
"C25M35",94954,1984-05-18 13:01:29,1984-05-18 21:01:29,-34.4532417,119.3755358,45.9,"2-D least-squares   (3 SVs)",9.8,19.5,4.05,0
"C25M32",94300,1984-05-18 14:00:42,1984-05-18 22:00:42,-34.4379528,119.2142056,8.13,"3-D least-squares   (7 SVs)",2.6,34,4.05,0
"C25M35",94954,1984-05-18 14:01:29,1984-05-18 22:01:29,-34.4533061,119.3760325,51.36,"2-D least-squares   (3 SVs)",4.2,19.5,4.05,0
"C25M32",94300,1984-05-18 15:00:11,1984-05-18 23:00:11,-34.4380875,119.2141778,-8.36,"3-D least-squares   (6 SVs)",3.4,32.5,4.05,0
"C25M35",94954,1984-05-18 15:01:40,1984-05-18 23:01:40,-34.4536236,119.3781692,3.59,"2-D least-squares   (3 SVs)",35.6,20,4.05,0
"C25M32",94300,1984-05-18 16:00:42,1984-05-19 00:00:42,-34.4379894,119.2141994,2.2,"3-D least-squares   (7 SVs)",1.8,35,4.05,0
"C25M35",94954,1984-05-18 16:03:01,1984-05-19 00:03:01,NA,NA,NA,"0                   (4 SVs)",36,20.5,4.05,0
"C25M32",94300,1984-05-18 17:00:17,1984-05-19 01:00:17,-34.4379939,119.2141517,12.07,"3-D least-squares   (7 SVs)",1.6,32.5,4.05,0
"C25M35",94954,1984-05-18 17:03:01,1984-05-19 01:03:01,NA,NA,NA,"0                   (3 SVs)",36,20,4.05,0
"C25M32",94300,1984-05-18 18:00:42,1984-05-19 02:00:42,-34.4379942,119.2142069,-3.9,"3-D least-squares   (6 SVs)",3,35,4.05,0
"C25M35",94954,1984-05-18 18:01:29,1984-05-19 02:01:29,-34.4531883,119.3754147,50.96,"2-D least-squares   (3 SVs)",6,19.5,4.05,0
"C25M32",94300,1984-05-18 19:00:24,1984-05-19 03:00:24,-34.437885,119.2141744,19.1,"3-D least-squares   (5 SVs)",3,33.5,4.05,0
"C25M35",94954,1984-05-18 19:01:08,1984-05-19 03:01:08,-34.4532064,119.3757822,58.68,"3-D least-squares   (4 SVs)",7.8,19,4.05,0
"C25M32",94300,1984-05-18 20:00:41,1984-05-19 04:00:41,-34.4379894,119.2141711,0.43,"3-D least-squares   (6 SVs)",3,33,4.05,0
"C25M35",94954,1984-05-18 20:03:01,1984-05-19 04:03:01,NA,NA,NA,"0                   (4 SVs)",36,19,4.05,0
"C25M32",94300,1984-05-18 21:00:13,1984-05-19 05:00:13,-34.4383333,119.2144328,-5.71,"3-D least-squares   (5 SVs)",3.4,21.5,4.05,0
"C25M35",94954,1984-05-18 21:03:01,1984-05-19 05:03:01,NA,NA,NA,"0                   (8 SVs)",36,18.5,4.05,0
"C25M32",94300,1984-05-18 22:00:49,1984-05-19 06:00:49,-34.4385381,119.2144889,3.63,"3-D least-squares   (7 SVs)",4.4,16,4.05,0
"C25M35",94954,1984-05-18 22:01:59,1984-05-19 06:01:59,-34.4534,119.3748658,52.11,"2-D least-squares   (3 SVs)",13.2,18,4.05,0
"C25M32",94300,1984-05-18 23:00:11,1984-05-19 07:00:11,-34.438765,119.2141175,0.52,"3-D least-squares   (7 SVs)",2.6,15.5,4.05,0
"C25M35",94954,1984-05-18 23:00:40,1984-05-19 07:00:40,-34.3921122,119.3754636,-14.87,"3-D least-squares   (11 SVs)",1.4,17.5,4.05,0
"C25M35",94954,1984-05-19 00:00:13,1984-05-19 08:00:13,-34.4288375,119.0788422,27.56,"3-D least-squares   (9 SVs)",2,14.5,4.05,0
"C25M32",94300,1984-05-19 00:00:15,1984-05-19 08:00:15,-34.4393497,119.2144272,3.17,"3-D least-squares   (5 SVs)",3.6,16,4.05,0
"C25M37",94953,1984-05-19 00:01:11,1984-05-19 08:01:11,-34.4185397,119.2198233,15.67,"3-D least-squares   (8 SVs)",1.6,13.5,3.95,0
"C25M37",94953,1984-05-19 01:00:15,1984-05-19 09:00:15,-34.4148406,119.1018458,36.05,"3-D least-squares   (6 SVs)",2.4,13.5,3.95,0
"C25M32",94300,1984-05-19 01:00:42,1984-05-19 09:00:42,-34.4378681,119.2155433,5.89,"3-D least-squares   (8 SVs)",2.2,23,4.05,0
"C25M32",94300,1984-05-19 02:00:10,1984-05-19 10:00:10,-34.4403408,119.2216114,-1.58,"3-D least-squares   (7 SVs)",4.8,21.5,4.05,0
"C25M37",94953,1984-05-19 02:00:40,1984-05-19 10:00:40,-34.2277522,119.2678003,53.96,"3-D least-squares   (8 SVs)",2.8,15.5,3.95,0
"C25M37",94953,1984-05-19 03:00:12,1984-05-19 11:00:12,-34.3984756,119.3640189,-3.26,"3-D least-squares   (8 SVs)",2,16.5,3.95,0
"C25M32",94300,1984-05-19 03:00:18,1984-05-19 11:00:18,-34.4418692,119.2225781,4.05,"3-D least-squares   (5 SVs)",3,31.5,4.05,0
"C25M32",94300,1984-05-19 04:00:42,1984-05-19 12:00:42,-34.4416689,119.2248194,-0.68,"3-D least-squares   (5 SVs)",4.8,33.5,4.05,0
"C25M37",94953,1984-05-19 04:00:44,1984-05-19 12:00:44,-34.4532544,119.3756886,31.43,"3-D least-squares   (5 SVs)",2.6,18,3.95,0
"C25M32",94300,1984-05-19 05:00:32,1984-05-19 13:00:32,-34.4421522,119.2288322,4.23,"3-D least-squares   (11 SVs)",1.6,30.5,4.05,0
"C25M37",94953,1984-05-19 05:00:41,1984-05-19 13:00:41,-34.4532783,119.3758794,64.7,"3-D least-squares   (5 SVs)",9.2,19,3.95,0
"C25M32",94300,1984-05-19 06:00:13,1984-05-19 14:00:13,-34.4417294,119.2285631,-1.64,"3-D least-squares   (10 SVs)",1.6,21,4.05,0
"C25M37",94953,1984-05-19 06:01:03,1984-05-19 14:01:03,-34.4532678,119.3749556,4.54,"3-D least-squares   (6 SVs)",25,20.5,3.95,0
"C25M32",94300,1984-05-19 07:00:14,1984-05-19 15:00:14,-34.4411819,119.2330339,-17.39,"3-D least-squares   (5 SVs)",4,21,4.05,0
"C25M32",94300,1984-05-19 08:00:59,1984-05-19 16:00:59,-34.4435817,119.2333503,2.87,"3-D least-squares   (9 SVs)",2,21,4.05,0
